"Item #","Description","Type","Qty Sold 04/01/23 to 06/30/23","Qty Sold 01/01/23 to 03/31/23","Sales $$ 04/01/23 to 06/30/23","Sales $$ 01/01/23 to 03/31/23","Per Unit Price Average 04/01/23 to 06/30/23","Per Unit on Average 01/01/23 to 03/31/23"
" A97891    "," DRAGON SKIN PREMIUM BLUE 14 DAY PAINTERS TAPE 72MM X 55M 3""X60 YDS                                  "," TAPE ADH RMVRS ","64","128","$704.00","$1,408.00","$11.00","$11.00"
"16069"," CLEAR 10' X 100' 4 MIL POLY SHEETING                                                                "," NS.PLASTIC     ","26","15","$703.56","$414.30","$27.06","$27.62"
" 2689-0715 "," OMNIPRO O&G1001 ON & GONE MOLD STAIN REMOVER, 1-GALLON                                              "," RESTORATION    ","8","4","$292.00","$146.00","$36.50","$36.50"
" A81834    "," BLACK 3 MIL NO PRINT 33"" X 48"" 42-GALLON, (32) PERFORATED POLY BAGS PER ROLL IN BOX                 "," NS.PLASTIC     ","12","24","$220.92","$445.68","$18.41","$18.57"
" 1601-0338 "," 1/4""ID X 3/8""OD CLEAR PVC DRAIN HOSE, SOLD BY THE FOOT                                              "," NS.TOOLSACC    ","200","200","$180.00","$180.00","$0.90","$0.90"
" 1607-6022 "," 9"" X 12"" X 1"" PLEATED MERV 10 FILTER FOR PHOENIX DRY MAX DEHUMIDIFIER 12 PER CASE                   "," FILTRATION     ","2","7","$150.00","$556.48","$75.00","$79.50"
" A66235    "," 16"" X 16"" X 1"" MERV-8 PLEATED PREFILTERS, (12) PER CASE                                             "," FILTRATION     ","2","9","$119.12","$709.59","$59.56","$78.84"
"54378"," 2"" X 25' CRUSH PROOF VACUUM HOSE GRAY WITH CUFFS                                                    "," NS.TOOLSACC    ","1","1","$85.50","$85.50","$85.50","$85.50"
" 1676-2421 "," PARKER QUICK CONNECT 1/4"" MALE BRASS 1/4"" FPT (BH2-61-BULK)                                         "," NS.PARTS       ","1","6","$8.14","$48.84","$8.14","$8.14"
